Times,Género,Nivel máximo de estudios,Alcaldía,Edad,¿Has escuchado alguna vez sobre la existencia de la violencia de género?,¿Consideras un problema la violencia de género?,¿Alguna ves has presenciado violencia de género?,¿Donde has presenciado violencia de género?,¿Cuáles crees que podrían ser formas de Violencia de género?,¿Por qué motivo crees que se dé la violencia de género?,¿Dentro de tu núcleo familiar has visto alguna vez violencia de género?,¿Qué te provoca esta encuesta?,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:39:15,Mujer,Preparatoria,Otro,16,Sí,No,No,Ninguno,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia física",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:41:04,Mujer,Universidad,Miguel Hidalgo,20,Sí,Sí,No,Ninguno,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 20:56:54,Mujer,Preparatoria,Otro,21,Sí,Sí,Sí,"En la escuela, En la calle",Todas las anteriores,"Falta de educacion, Negligencia por parte de las autoridades",Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:00:37,Mujer,Preparatoria,Álvaro Obregón,21,Sí,Sí,No,Ninguno,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:11:08,Hombre,Preparatoria,Otro,33,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:17:28,Mujer,Universidad,Álvaro Obregón,21,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:35:54,Mujer,Universidad,Iztapalapa,21,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela",Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:48:15,Hombre,Maestría,Otro,36,Sí,Sí,No,Ninguno,Todas las anteriores,Falta de educacion,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:51:14,Hombre,Universidad,Iztapalapa,30,Sí,Sí,Sí,En la calle ,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:55:01,Mujer,Universidad,Venustiano Carranza,23,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 21:55:48,Mujer,Universidad,Cuauhtémoc,30,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela, En alguna institución (gobierno, salud, etc.), en la calle",Todas las anteriores,"Religión, Costumbre familiar, Negligencia por parte de las autoridades",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:00:31,Hombre,Preparatoria,Azcapotzalco,20,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,"Falta de educacion, Todas las anteriores",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:01:08,Hombre,Universidad,Coyoacán,19,Sí,Sí,No,Ninguno,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:05:35,Hombre,Preparatoria,Iztacalco,20,Sí,Sí,Tal vez,en la calle ,Todas las anteriores,Todas las anteriores,Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:07:12,Mujer,Secundaria,Cuajimalpa de Morelos,18,Sí,Sí,Sí,En la familia,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Todas las anteriores",Falta de educacion,Sí,Molestia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:07:14,Hombre,Preparatoria,Álvaro Obregón,20,Sí,Sí,No,Ninguno,"Abuso verbal, Golpear, empujar, Acosar",Falta de educacion,No,Molestia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:08:11,Mujer,Universidad,Gustavo A. Madero,21,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Nivel educativo",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:08:55,Mujer,Preparatoria,Venustiano Carranza,20,Sí,No,No,Ninguno,Todas las anteriores,Falta de educacion,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:11:23,Mujer,Preparatoria,Cuajimalpa de Morelos,21,Sí,Sí,Sí,En la escuela,"Abuso verbal, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones","Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia física",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:11:37,Hombre,Universidad,Iztapalapa,28,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Religión, Falta de cultura, Nivel educativo, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:16:06,Hombre,Universidad,Cuajimalpa de Morelos,20,Sí,Sí,Tal vez,"En la familia, En la escuela","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores",Todas las anteriores,Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:16:24,Mujer,Universidad,Gustavo A. Madero,20,Sí,Sí,Sí,"En la familia, Calle",Todas las anteriores,"Falta de educacion, Religión, Apariencia física, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:16:35,Mujer,Universidad,Iztacalco,23,Sí,Sí,Sí,En la escuela,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:18:47,Mujer,Universidad,Tláhuac,23,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Religión, Costumbre familiar, Negligencia por parte de las autoridades, Nivel socio económico",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:24:03,Mujer,Preparatoria,Otro,33,Sí,Sí,Sí,En el trabajo,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Religión, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia física, Nivel educativo, Nivel socio económico, Falta de difusión, Todas las anteriores",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:35:20,Mujer,Universidad,Otro,21,Sí,Sí,Sí,"En la escuela, En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:36:57,Mujer,Universidad,Coyoacán,19,Sí,Sí,No,Ninguno,"Agredir psicológicamente, Menospreciar, Humillar, Micro agresiones","Falta de educacion, Costumbre familiar, Falta de cultura, Nivel socio económico",No,Indiferencia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:37:52,Hombre,Preparatoria,Iztacalco,20,Sí,Sí,Sí,En el trabajo,Ninguna,"Falta de educacion, Costumbre familiar, Nivel educativo",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:38:27,Hombre,Universidad,Tláhuac,21,Sí,Sí,No,Ninguno,Todas las anteriores,Falta de educacion,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:43:37,Mujer,Preparatoria,Gustavo A. Madero,20,Sí,Sí,No,Ninguno,Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:48:14,Mujer,Universidad,Coyoacán,23,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Apariencia física, Nivel educativo, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:49:32,Mujer,Preparatoria,Gustavo A. Madero,30,Sí,Sí,Sí,En el trabajo,Todas las anteriores,"Falta de educacion, Costumbre familiar, Negligencia por parte de las autoridades",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:49:38,Mujer,Secundaria,Otro,22,Sí,Sí,Sí,En la escuela,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Humillar, Acosar","Falta de educacion, Falta de cultura, Negligencia por parte de las autoridades",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:51:25,Mujer,Universidad,Gustavo A. Madero,24,Sí,Sí,Sí,"En el trabajo, En la escuela",Todas las anteriores,"Falta de educacion, Falta de cultura",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 22:55:38,Mujer,Universidad,Gustavo A. Madero,19,Sí,Sí,Sí,"En la escuela, En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 23:01:13,Mujer,Universidad,Gustavo A. Madero,48,Sí,Sí,Sí,"En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 23:11:23,Mujer,Preparatoria,Venustiano Carranza,18,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela, En alguna institución (gobierno, salud, etc.), Todas las anteriores","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Religión, Costumbre familiar, Negligencia por parte de las autoridades",Sí,Molestia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 23:14:58,Hombre,Universidad,Gustavo A. Madero,33,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Negligencia por parte de las autoridades",Sí,Indiferencia,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021 23:18:05,Mujer,Universidad,Azcapotzalco,21,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Molestia,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 0:04:30,Hombre,Preparatoria,Otro,19,Sí,Sí,Sí,"En la familia, En el trabajo, En alguna institución (gobierno, salud, etc.)","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores",Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 1:29:41,Hombre,Universidad,La Magdalena Contreras,20,Sí,Sí,No,En la calle ,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Religión, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia física, Nivel educativo, Nivel socio económico, Falta de difusión, Todas las anteriores",Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 1:38:44,Mujer,Preparatoria,Iztapalapa,21,Sí,Sí,Tal vez,En la escuela,Todas las anteriores,"Falta de educacion, Por qué está tan normalizado que ya es algo cotidiano. ",Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 1:45:19,Mujer,Preparatoria,Otro,17,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,"Falta de educacion, Religión, Costumbre familiar, Falta de cultura, Apariencia física, Nivel socio económico",Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 1:49:39,Prefiero no decirlo,Preparatoria,Gustavo A. Madero,17,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela, En alguna institución (gobierno, salud, etc.), Todas las anteriores","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Costumbre familiar, Falta de cultura",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 2:09:17,Mujer,Preparatoria,Benito Juárez,20,Sí,Sí,Sí,"En la escuela, En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 2:26:09,Mujer,Preparatoria,Álvaro Obregón,20,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 3:44:34,Mujer,Preparatoria,Coyoacán,18,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 5:23:43,Hombre,Preparatoria,Iztapalapa,23,Sí,Sí,Sí,"En la familia, En la escuela, En alguna institución (gobierno, salud, etc.)","Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual","Falta de educacion, Religión, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo, Falta de difusión",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 5:28:18,Hombre,Universidad,Coyoacán,19,Sí,Sí,No,Ninguno,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 7:31:54,Mujer,Universidad,Milpa Alta,23,Sí,Sí,No,Ninguno,Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 8:04:37,Mujer,Universidad,Gustavo A. Madero,26,Sí,Sí,Sí,"En la familia, En el trabajo, En la escuela, Noviazgo",Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 8:14:36,Mujer,Preparatoria,Miguel Hidalgo,21,Sí,Sí,Sí,En el trabajo,Todas las anteriores,"Falta de educacion, Apariencia física",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 8:21:52,Mujer,Universidad,Iztacalco,21,Sí,Sí,Sí,"En la familia, En la escuela, En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 9:02:21,Hombre,Preparatoria,Tlalpan,25,Sí,Sí,Sí,En la calle,Todas las anteriores,Todas las anteriores,Tal vez,Molestia,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 9:07:33,Mujer,Universidad,Tláhuac,22,Sí,Sí,Sí,En la escuela,Todas las anteriores,"Costumbre familiar, Falta de cultura",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 9:24:25,Mujer,Preparatoria,Otro,18,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,Todas las anteriores,Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 10:35:16,Mujer,Preparatoria,Gustavo A. Madero,19,Sí,Sí,No,Ninguno,Todas las anteriores,"Falta de educacion, Religión, Costumbre familiar, Negligencia por parte de las autoridades, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 10:54:08,Hombre,Preparatoria,Miguel Hidalgo,20,Sí,Sí,Sí,"En alguna institución (gobierno, salud, etc.)","Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresiones, Todas las anteriores","Falta de educacion, Falta de cultura, Apariencia física, Nivel educativo, Nivel socio económico, Falta de difusión",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 13:30:56,Hombre,Preparatoria,Cuauhtémoc,25,Sí,Sí,Sí,Calle ,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Humillar, Acosar, Micro agresiones","Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo, Falta de difusión",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 14:03:54,Mujer,Preparatoria,Otro,20,Sí,Sí,Tal vez,"En alguna institución (gobierno, salud, etc.)",Todas las anteriores,Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 16:39:00,Hombre,Universidad,Azcapotzalco,20,Sí,Sí,Sí,"Todas las anteriores, Sitios públicos como Cines o Plazas",Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Falta de difusión",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 16:54:52,Mujer,Universidad,Gustavo A. Madero,20,Sí,Sí,Sí,"En alguna institución (gobierno, salud, etc.)","Abuso verbal, Agredir psicológicamente, Menospreciar, Humillar, Micro agresiones","Falta de educacion, Costumbre familiar, Apariencia física",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 17:30:16,Mujer,Preparatoria,Miguel Hidalgo,48,Sí,Sí,Sí,Todas las anteriores,Todas las anteriores,"Costumbre familiar, Negligencia por parte de las autoridades",Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 17:45:08,Mujer,Universidad,Benito Juárez,19,Sí,Sí,Sí,En la escuela,Todas las anteriores,Todas las anteriores,Tal vez,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 18:00:42,Mujer,Preparatoria,Gustavo A. Madero,17,Sí,Sí,Tal vez,En la escuela,"Abuso verbal, Golpear, empujar, Agredir psicológicamente, Menospreciar, Humillar, Acosar, Micro agresiones","Falta de educacion, Costumbre familiar, Falta de cultura, Apariencia física, Falta de difusión",No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 18:01:49,Mujer,Universidad,Gustavo A. Madero,23,Sí,No,Sí,En la escuela,"Abuso verbal, Agredir psicológicamente, Menospreciar, Humillar, Acosar",Todas las anteriores,No,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 18:05:53,Mujer,Universidad,Miguel Hidalgo,19,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 18:06:04,Mujer,Universidad,Otro,23,Sí,Sí,Sí,"En la familia, En la escuela",Todas las anteriores,"Falta de educacion, Religión, Costumbre familiar",Sí,Me importa,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2021 18:06:41,Hombre,Universidad,Otro,20,Sí,Sí,No,Ninguno,Todas las anteriores,Todas las anteriores,No,Indiferencia,,,,,,,,,,,,,,,,,,,,,,,,,
